,Gold Price (INR / 10gms),Silver Price (INR / 1kg),Price_Nifty,Price_Sensex,Impact,Gold Price (INR / 10gms)_lag1,Silver Price (INR / 1kg)_lag1,Price_Nifty_lag1,Price_Sensex_lag1,Impact_lag1,Gold Price (INR / 10gms)_MA3,Gold Price (INR / 10gms)_MA7,Silver Price (INR / 1kg)_MA3,Silver Price (INR / 1kg)_MA7,Price_Nifty_MA3,Price_Nifty_MA7,Price_Sensex_MA3,Price_Sensex_MA7
Gold Price (INR / 10gms),1.0,0.8640437945645222,0.12212312781416505,0.25123495255892525,0.02471648872429983,0.9987716525197372,0.8605803186074189,0.1180942512027078,0.2481355396485485,0.0229632799405399,0.9993602990768842,0.9979460462167956,0.861876746414289,0.8571104790867015,0.11839206165526248,0.10996850932048788,0.24875722837410533,0.24273586402437397
Silver Price (INR / 1kg),0.8640437945645222,1.0,0.39876067853868374,0.4767964501859314,-0.02121317612495478,0.8652015169985832,0.9968247209483272,0.39397296932657816,0.4727488538170719,-0.023836918223227296,0.8653530874139373,0.8664986865717798,0.9981972874620046,0.9935053317649086,0.3949675919149426,0.38520032058074133,0.4738701986777544,0.46579791207364896
Price_Nifty,0.12212312781416505,0.39876067853868374,1.0,0.9871759665375307,-0.03340768931941834,0.12265835135390353,0.3984095815173302,0.9931347948655436,0.9804372510157578,-0.040076317719398624,0.12272356222234904,0.1240174271091037,0.3988979878794916,0.39881298443259183,0.9963529686031616,0.9869617650558009,0.983385373339463,0.9738410908090759
Price_Sensex,0.25123495255892525,0.4767964501859314,0.9871759665375307,1.0,-0.019980794390494806,0.2515690033071585,0.47620133226593236,0.9806014994129685,0.9936340384712428,-0.027804012664055022,0.25170823176018564,0.2527032680660671,0.4768207406257613,0.4764852463862546,0.9837984972028055,0.9751700547552976,0.9966339147328024,0.9881381466917444
Impact,0.02471648872429983,-0.02121317612495478,-0.03340768931941834,-0.019980794390494806,1.0,0.024952921291924047,-0.019338438128733895,-0.036848761400216604,-0.023300090543647744,0.14471218949327577,0.025228009972186494,0.025508035652292742,-0.019448960435222377,-0.020364503159775765,-0.036368899444814584,-0.034769761981817554,-0.02283267759962425,-0.02164989912368202
Gold Price (INR / 10gms)_lag1,0.9987716525197372,0.8652015169985832,0.12265835135390353,0.2515690033071585,0.024952921291924047,1.0,0.8638067731247981,0.11878915241661545,0.24868867043494788,0.021442862461649736,0.9997057593412361,0.9987108690755268,0.8643524912104872,0.8599619382073393,0.11911006659625656,0.1109488216706647,0.2493135487480009,0.24355672691319866
Silver Price (INR / 1kg)_lag1,0.8605803186074189,0.9968247209483272,0.3984095815173302,0.47620133226593236,-0.019338438128733895,0.8638067731247981,1.0,0.39479273541875276,0.47331994481525314,-0.023473135104000127,0.8635894757575638,0.8655925171851846,0.9993131832473742,0.9961178965497178,0.39559910282770416,0.38672452703113763,0.47424848467742575,0.4670556141561181
Price_Nifty_lag1,0.1180942512027078,0.39397296932657816,0.9931347948655436,0.9806014994129685,-0.036848761400216604,0.11878915241661545,0.39479273541875276,1.0,0.9870312843798226,-0.03622300035298491,0.11884641844689436,0.12012822560116132,0.394995414316107,0.39548068208914194,0.998386904411732,0.9921295058586065,0.9853449869743408,0.9787764148320292
Price_Sensex_lag1,0.2481355396485485,0.4727488538170719,0.9804372510157578,0.9936340384712428,-0.023300090543647744,0.24868867043494788,0.47331994481525314,0.9870312843798226,1.0,-0.023569233093727965,0.2487921366353699,0.2497949830693817,0.4736356376845214,0.4738617402520115,0.9855693414933704,0.9798767837798393,0.9984964845586154,0.9928012590224004
Impact_lag1,0.0229632799405399,-0.023836918223227296,-0.040076317719398624,-0.027804012664055022,0.14471218949327577,0.021442862461649736,-0.023473135104000127,-0.03622300035298491,-0.023569233093727965,1.0,0.022047257661854176,0.022316584176772278,-0.022998247275586452,-0.022611509592656988,-0.038765786902846086,-0.038402003477977925,-0.026158782831927324,-0.02600780314387353
Gold Price (INR / 10gms)_MA3,0.9993602990768842,0.8653530874139373,0.12272356222234904,0.25170823176018564,0.025228009972186494,0.9997057593412361,0.8635894757575638,0.11884641844689436,0.2487921366353699,0.022047257661854176,1.0,0.9991351646254911,0.8645088155079296,0.8602950662065281,0.11916219419322802,0.11104752561180799,0.24942798751230832,0.243721306319829
Gold Price (INR / 10gms)_MA7,0.9979460462167956,0.8664986865717798,0.1240174271091037,0.2527032680660671,0.025508035652292742,0.9987108690755268,0.8655925171851846,0.12012822560116132,0.2497949830693817,0.022316584176772278,0.9991351646254911,1.0,0.8666762237918185,0.864746163193522,0.12049270451832764,0.11287198387066803,0.25047819035484997,0.24529654829978356
Silver Price (INR / 1kg)_MA3,0.861876746414289,0.9981972874620046,0.3988979878794916,0.4768207406257613,-0.019448960435222377,0.8643524912104872,0.9993131832473742,0.394995414316107,0.4736356376845214,-0.022998247275586452,0.8645088155079296,0.8666762237918185,1.0,0.9971972392179661,0.39595885276896853,0.3871758091587716,0.47472916345201993,0.46762505404702004
Silver Price (INR / 1kg)_MA7,0.8571104790867015,0.9935053317649086,0.39881298443259183,0.4764852463862546,-0.020364503159775765,0.8599619382073393,0.9961178965497178,0.39548068208914194,0.4738617402520115,-0.022611509592656988,0.8602950662065281,0.864746163193522,0.9971972392179661,1.0,0.3965552416375485,0.38980465891948385,0.47505952852590966,0.46993729917779714
Price_Nifty_MA3,0.11839206165526248,0.3949675919149426,0.9963529686031616,0.9837984972028055,-0.036368899444814584,0.11911006659625656,0.39559910282770416,0.998386904411732,0.9855693414933704,-0.038765786902846086,0.11916219419322802,0.12049270451832764,0.39595885276896853,0.3965552416375485,1.0,0.9944267984142688,0.986985650068641,0.9810682086703558
Price_Nifty_MA7,0.10996850932048788,0.38520032058074133,0.9869617650558009,0.9751700547552976,-0.034769761981817554,0.1109488216706647,0.38672452703113763,0.9921295058586065,0.9798767837798393,-0.038402003477977925,0.11104752561180799,0.11287198387066803,0.3871758091587716,0.38980465891948385,0.9944267984142688,1.0,0.9819543627743272,0.9866165661932299
Price_Sensex_MA3,0.24875722837410533,0.4738701986777544,0.983385373339463,0.9966339147328024,-0.02283267759962425,0.2493135487480009,0.47424848467742575,0.9853449869743408,0.9984964845586154,-0.026158782831927324,0.24942798751230832,0.25047819035484997,0.47472916345201993,0.47505952852590966,0.986985650068641,0.9819543627743272,1.0,0.9949422637136677
Price_Sensex_MA7,0.24273586402437397,0.46579791207364896,0.9738410908090759,0.9881381466917444,-0.02164989912368202,0.24355672691319866,0.4670556141561181,0.9787764148320292,0.9928012590224004,-0.02600780314387353,0.243721306319829,0.24529654829978356,0.46762505404702004,0.46993729917779714,0.9810682086703558,0.9866165661932299,0.9949422637136677,1.0
