Date,Price,Open,High,Low,Volume,Chg%,USD,GBP,EURO,Date,Price_Nifty,Open_Nifty,High_Nifty,Low_Nifty,Vol._Nifty,Change %_Nifty,Price_Sensex,Open_Sensex,High_Sensex,Low_Sensex,Vol._Sensex,Change %_Sensex
2020-12-31,50081,49940,50139,49778,390,0.4,26.485,19.41,21.58,2020-12-31,"13,981.75","13,970.00","14,024.85","13,936.45",452.41M,0.00%,"47,751.33","47,753.11","47,896.97","47,602.12",13.93M,0.01%
2020-12-30,49881,49840,49950,49599,3650,0.32,26.305,19.33,21.43,2020-12-30,"13,981.95","13,980.90","13,997.00","13,864.95",380.68M,0.35%,"47,746.22","47,789.03","47,807.85","47,358.36",15.63M,0.28%
2020-12-29,49722,49820,49899,49600,13260,-0.08,26.15,19.36,21.35,2020-12-29,"13,932.60","13,910.35","13,967.60","13,859.90",439.59M,0.43%,"47,613.08","47,466.62","47,714.55","47,361.90",12.76M,0.55%
2020-12-24,49787,50021,50049,49630,18140,-0.24,25.78,18.97,21.14,2020-12-28,"13,873.20","13,815.15","13,885.30","13,811.55",403.63M,0.90%,"47,353.75","47,153.59","47,406.72","47,148.24",9.59M,0.81%
2020-12-23,49909,49771,50020,49466,26910,0.28,25.315,18.86,20.77,2020-12-24,"13,749.25","13,672.15","13,771.75","13,626.90",471.37M,1.09%,"46,973.54","46,743.49","47,053.40","46,539.02",13.71M,1.14%
2020-12-22,49768,50224,50287,49667,24490,-0.75,25.77,19.22,21.05,2020-12-23,"13,601.10","13,473.50","13,619.45","13,432.20",458.65M,1.00%,"46,444.18","46,072.30","46,513.32","45,899.10",10.47M,0.95%
2020-12-21,50146,50199,50716,49465,39390,0.09,26.155,19.71,21.51,2020-12-22,"13,466.30","13,373.65","13,492.05","13,192.90",696.20M,1.03%,"46,006.69","45,529.61","46,080.18","45,112.19",25.08M,0.99%
2020-12-18,50100,50110,50283,49885,25050,-0.32,25.815,19.08,21.07,2020-12-21,"13,328.40","13,741.90","13,777.50","13,131.45",687.25M,-3.14%,"45,553.96","46,932.18","47,055.69","44,923.08",24.39M,-3.00%
2020-12-17,50263,49649,50425,49649,35230,1.45,25.74,18.91,21.03,2020-12-18,"13,760.55","13,764.40","13,772.85","13,658.60",519.39M,0.14%,"46,960.69","47,026.02","47,026.02","46,630.31",12.80M,0.15%
2020-12-16,49544,49500,49784,49422,30230,0.26,25.13,18.57,20.61,2020-12-17,"13,740.70","13,713.55","13,773.25","13,673.55",416.01M,0.42%,"46,890.34","46,774.32","46,992.57","46,627.60",17.22M,0.48%
